Company,Strategy,Lot_Size,Lots_per_Trade,Total_PNL,Total_Exact_Profit,Investment,ROI_%
HINDUNILVR,CC,300,333.33,381090.0,381090.0,100000,381.09
TATASTEELL,OC,5500,18.18,341550.0,341550.0,100000,341.55
DRREDDYLYS,OC,625,160.0,284437.5,284437.5,100000,284.44
RELIANCELY,CC,500,200.0,209900.0,209900.0,100000,209.9
TCS_P,CC,175,571.43,118186.25,118186.25,100000,118.19
LT,CC,150,666.67,97155.0,97155.0,100000,97.16
AXISBANKLY,OC,625,160.0,92562.5,92562.5,100000,92.56
TECHM,OO,600,166.67,87570.0,87570.0,100000,87.57
HDFCBANKLY,CC,550,181.82,67375.0,67375.0,100000,67.38
ASIANPAINT,OC,200,500.0,55020.0,55020.0,100000,55.02
ICICIBANKL,CO,700,142.86,39865.0,39865.0,100000,39.86
POWERGRIDL,OC,1800,55.56,29790.0,29790.0,100000,29.79
BHARTIARTL,OO,475,210.53,28975.0,28975.0,100000,28.98
GRASIMLYSI,OC,250,400.0,22862.5,22862.5,100000,22.86
INFY_,OC,400,250.0,22400.0,22400.0,100000,22.4
PORTFOLIO TOTAL,EQUAL WEIGHTED,-,-,-,1878738.75,1500000,125.25
